PROCEDURE,Amount,Key_FS,Source
G0279,46.16,G0279,Capital
G0279,28.01,G027926,Capital
G0279,18.15,G0279TC,Capital
G0281,11.49,G0281,Capital
G0283,11.49,G0283,Capital
G0288,42.57,G0288,Capital
G0289,87.70,G0289,Capital
G0296,27.54,G0296,Capital
G0316,31.65,G0316,Capital
G0317,31.65,G0317,Capital
G0318,31.20,G0318,Capital
G0323,54.54,G0323,Capital
G0329,10.31,G0329,Capital
G0341,"1,513.61",G0341,Capital
G0342,787.46,G0342,Capital
G0343,"1,289.84",G0343,Capital
G0372,8.65,G0372,Capital
G0396,34.40,G0396,Capital
G0397,67.28,G0397,Capital
G0402,164.00,G0402,Capital
G0403,14.15,G0403,Capital
G0404,6.12,G0404,Capital
G0405,8.02,G0405,Capital
G0406,41.58,G0406,Capital
G0407,71.84,G0407,Capital
G0408,104.78,G0408,Capital
G0409,22.39,G0409,Capital
G0412,744.96,G0412,Capital
G0413,"1,092.95",G0413,Capital
G0414,"1,030.29",G0414,Capital
G0415,"1,408.05",G0415,Capital
G0416,349.87,G0416,Capital
G0416,169.07,G041626,Capital
G0416,180.80,G0416TC,Capital
G0420,107.90,G0420,Capital
G0421,26.87,G0421,Capital
G0422,126.41,G0422,Capital
G0423,126.41,G0423,Capital
G0425,93.04,G0425,Capital
G0426,130.97,G0426,Capital
G0427,184.37,G0427,Capital
G0429,98.39,G0429,Capital
G0438,163.69,G0438,Capital
G0439,128.46,G0439,Capital
G0442,18.37,G0442,Capital
G0443,24.89,G0443,Capital
G0444,18.37,G0444,Capital
G0445,26.14,G0445,Capital
G0446,25.21,G0446,Capital
G0447,25.21,G0447,Capital
G0451,11.13,G0451,Capital
G0452,48.38,G0452,Capital
G0452,45.08,G045226,Capital
G0452,3.30,G0452TC,Capital
G0453,31.80,G0453,Capital
G0454,8.67,G0454,Capital
G0455,128.28,G0455,Capital
G0459,42.20,G0459,Capital
G0473,12.21,G0473,Capital
G0500,54.55,G0500,Capital
G0506,61.62,G0506,Capital
G0508,205.45,G0508,Capital
G0509,189.98,G0509,Capital
G0513,62.88,G0513,Capital
G0514,63.19,G0514,Capital
G0516,190.18,G0516,Capital
G0517,211.25,G0517,Capital
G0518,369.36,G0518,Capital
G2001,49.20,G2001,Capital
G2002,73.28,G2002,Capital
G2003,120.12,G2003,Capital
G2004,157.87,G2004,Capital
G2005,207.18,G2005,Capital
G2006,48.25,G2006,Capital
G2007,77.74,G2007,Capital
G2008,122.61,G2008,Capital
G2009,173.47,G2009,Capital
G2010,12.11,G2010,Capital
G2011,16.83,G2011,Capital
G2012,13.99,G2012,Capital
G2013,207.18,G2013,Capital
G2014,73.72,G2014,Capital
G2015,103.36,G2015,Capital
G2082,805.08,G2082,Capital
G2083,"1,141.77",G2083,Capital
G2086,461.28,G2086,Capital
G2087,428.12,G2087,Capital
G2088,57.59,G2088,Capital
G2211,16.34,G2211,Capital
G2212,32.45,G2212,Capital
G2213,64.29,G2213,Capital
G2214,56.23,G2214,Capital
G2250,12.11,G2250,Capital
G2251,13.99,G2251,Capital
G2252,26.24,G2252,Capital
G3002,82.43,G3002,Capital
G3003,30.17,G3003,Capital
G6001,170.65,G6001,Capital
G6001,30.92,G600126,Capital
G6001,139.73,G6001TC,Capital
G6002,72.02,G6002,Capital
G6002,20.22,G600226,Capital
G6002,51.80,G6002TC,Capital
G6003,144.74,G6003,Capital
G6004,118.77,G6004,Capital
G6005,119.08,G6005,Capital
G6006,118.14,G6006,Capital
G6007,216.08,G6007,Capital
G6008,164.00,G6008,Capital
G6009,163.69,G6009,Capital
G6010,162.43,G6010,Capital
G6011,215.63,G6011,Capital
G6012,215.94,G6012,Capital
G6013,216.88,G6013,Capital
G6014,215.31,G6014,Capital
G6015,335.23,G6015,Capital
G6016,332.79,G6016,Capital
G9157,94.54,G9157,Capital
G9187,45.63,G9187,Capital
G9481,18.91,G9481,Capital
G9482,34.86,G9482,Capital
G9483,55.08,G9483,Capital
G9484,92.61,G9484,Capital
G9485,121.64,G9485,Capital
G9486,18.91,G9486,Capital
G9487,37.17,G9487,Capital
G9488,56.77,G9488,Capital
G9489,80.98,G9489,Capital
G9490,45.63,G9490,Capital
G9685,185.83,G9685,Capital
G9868,26.63,G9868,Capital
G9869,35.62,G9869,Capital
G9870,44.61,G9870,Capital
G9978,48.32,G9978,Capital
G9979,71.16,G9979,Capital
G9980,104.83,G9980,Capital
G9981,160.82,G9981,Capital
G9982,208.94,G9982,Capital
G9983,48.32,G9983,Capital
G9984,78.79,G9984,Capital
G9985,112.78,G9985,Capital
G9986,156.08,G9986,Capital
G9987,45.63,G9987,Capital
P3001,23.22,P3001,Capital
Q0035,17.27,Q0035,Capital
Q0035,8.02,Q003526,Capital
Q0035,9.25,Q0035TC,Capital
Q0091,42.71,Q0091,Capital
Q0092,24.58,Q0092,Capital
0446T,"2,910.99",0446T,Capital
0447T,97.64,0447T,Capital
0448T,"2,900.09",0448T,Capital
0509T,72.49,0509T,Capital
0509T,20.37,0509T26,Capital
0509T,52.12,0509TTC,Capital
10004,53.00,10004,Capital
10005,131.82,10005,Capital
10006,60.07,10006,Capital
10007,292.53,10007,Capital
10008,137.35,10008,Capital
10009,408.58,10009,Capital
10010,227.58,10010,Capital
10021,99.64,10021,Capital
10030,605.13,10030,Capital
10035,344.63,10035,Capital
10036,280.37,10036,Capital
10040,113.09,10040,Capital
10060,124.56,10060,Capital
10061,212.95,10061,Capital
10080,241.87,10080,Capital
10081,337.09,10081,Capital
10120,148.69,10120,Capital
10121,261.87,10121,Capital
10140,167.05,10140,Capital
10160,127.65,10160,Capital
10180,261.36,10180,Capital
11000,57.77,11000,Capital
11001,26.78,11001,Capital
11004,584.99,11004,Capital
11005,806.55,11005,Capital
11006,725.22,11006,Capital
11008,284.39,11008,Capital
11010,441.89,11010,Capital
11011,496.55,11011,Capital
11012,648.64,11012,Capital
11042,126.33,11042,Capital
11043,231.13,11043,Capital
11044,312.33,11044,Capital
11045,39.95,11045,Capital
11046,73.92,11046,Capital
11047,123.01,11047,Capital
11055,68.19,11055,Capital
11056,79.30,11056,Capital
11057,86.97,11057,Capital
11102,97.04,11102,Capital
11103,48.71,11103,Capital
11104,121.06,11104,Capital
11105,57.96,11105,Capital
11106,150.42,11106,Capital
11107,69.27,11107,Capital
11200,90.52,11200,Capital
11201,18.32,11201,Capital
11300,96.92,11300,Capital
11301,117.76,11301,Capital
11302,132.94,11302,Capital
11303,147.64,11303,Capital
11305,101.70,11305,Capital
11306,118.64,11306,Capital
11307,134.67,11307,Capital
11308,142.25,11308,Capital
11310,112.07,11310,Capital
11311,132.91,11311,Capital
11312,151.18,11312,Capital
11313,176.91,11313,Capital
11400,125.00,11400,Capital
11401,152.74,11401,Capital
11402,168.63,11402,Capital
11403,195.53,11403,Capital
11404,222.19,11404,Capital
11406,319.93,11406,Capital
11420,123.34,11420,Capital
11421,156.74,11421,Capital
11422,176.32,11422,Capital
11423,202.85,11423,Capital
11424,236.11,11424,Capital
11426,328.68,11426,Capital
11440,139.51,11440,Capital
11441,171.15,11441,Capital
11442,190.48,11442,Capital
11443,225.56,11443,Capital
11444,281.31,11444,Capital
11446,383.54,11446,Capital
11450,425.56,11450,Capital
11451,520.21,11451,Capital
11462,412.80,11462,Capital
11463,525.77,11463,Capital
11470,450.46,11470,Capital
11471,540.45,11471,Capital
11600,193.29,11600,Capital
11601,224.11,11601,Capital
11602,239.53,11602,Capital
11603,274.12,11603,Capital
11604,306.26,11604,Capital
11606,447.39,11606,Capital
11620,194.43,11620,Capital
11621,224.93,11621,Capital
11622,248.65,11622,Capital
11623,292.02,11623,Capital
11624,333.95,11624,Capital
11626,404.77,11626,Capital
11640,198.83,11640,Capital
11641,232.48,11641,Capital
11642,264.02,11642,Capital
11643,311.53,11643,Capital
11644,385.64,11644,Capital
11646,504.54,11646,Capital
11719,13.97,11719,Capital
11720,32.14,11720,Capital
11721,43.71,11721,Capital
11730,111.94,11730,Capital
11732,32.26,11732,Capital
11740,55.71,11740,Capital
11750,156.88,11750,Capital
11755,119.09,11755,Capital
11760,180.56,11760,Capital
11762,282.63,11762,Capital
11765,160.64,11765,Capital
11770,349.71,11770,Capital
11771,631.24,11771,Capital
11772,771.92,11772,Capital
11900,56.22,11900,Capital
11901,69.02,11901,Capital
11920,197.47,11920,Capital
11921,218.70,11921,Capital
11922,60.13,11922,Capital
11950,81.46,11950,Capital
11951,108.56,11951,Capital
11952,145.55,11952,Capital
11954,160.17,11954,Capital
11960,"1,015.55",11960,Capital
11970,569.71,11970,Capital
11971,559.06,11971,Capital
11976,145.56,11976,Capital
11980,93.38,11980,Capital
11981,100.77,11981,Capital
11982,111.40,11982,Capital
11983,143.39,11983,Capital
12001,93.35,12001,Capital
12002,113.77,12002,Capital
12004,133.44,12004,Capital
12005,178.04,12005,Capital
12006,205.77,12006,Capital
12007,234.69,12007,Capital
12011,111.58,12011,Capital
12013,116.79,12013,Capital
12014,143.30,12014,Capital
12015,173.37,12015,Capital
12016,220.72,12016,Capital
12017,162.39,12017,Capital
12018,182.80,12018,Capital
12020,295.25,12020,Capital
12021,176.62,12021,Capital
12031,255.89,12031,Capital
12032,296.11,12032,Capital
12034,328.04,12034,Capital
12035,384.45,12035,Capital
12036,432.22,12036,Capital
12037,487.30,12037,Capital
12041,256.89,12041,Capital
12042,303.30,12042,Capital
12044,374.42,12044,Capital
12045,408.84,12045,Capital
12046,499.78,12046,Capital
12047,548.45,12047,Capital
12051,277.00,12051,Capital
12052,308.82,12052,Capital
12053,355.35,12053,Capital
12054,376.26,12054,Capital
12055,496.62,12055,Capital
12056,572.85,12056,Capital
12057,602.05,12057,Capital
13100,332.76,13100,Capital
13101,387.03,13101,Capital
13102,115.19,13102,Capital
13120,347.02,13120,Capital
13121,415.50,13121,Capital
13122,125.64,13122,Capital
13131,380.05,13131,Capital
13132,461.01,13132,Capital
13133,167.16,13133,Capital
13151,415.21,13151,Capital
13152,488.47,13152,Capital
13153,184.59,13153,Capital
13160,807.88,13160,Capital
14000,634.12,14000,Capital
14001,812.47,14001,Capital
14020,697.44,14020,Capital
14021,861.51,14021,Capital
14040,754.00,14040,Capital
14041,915.63,14041,Capital
14060,763.12,14060,Capital
14061,987.84,14061,Capital
14301,"1,080.98",14301,Capital
14302,219.64,14302,Capital
14350,676.95,14350,Capital
15002,341.16,15002,Capital
15003,69.84,15003,Capital
15004,388.00,15004,Capital
15005,117.87,15005,Capital
15040,256.15,15040,Capital
15050,581.74,15050,Capital
15100,871.24,15100,Capital
15101,184.08,15101,Capital
15110,843.20,15110,Capital
15111,117.14,15111,Capital
15115,814.03,15115,Capital
15116,158.26,15116,Capital
15120,846.22,15120,Capital
15121,205.01,15121,Capital
15130,717.17,15130,Capital
15131,98.79,15131,Capital
15135,870.00,15135,Capital
15136,97.54,15136,Capital
15150,725.32,15150,Capital
15151,123.71,15151,Capital
15152,152.11,15152,Capital
15155,799.78,15155,Capital
15156,167.20,15156,Capital
15157,185.34,15157,Capital
15200,839.49,15200,Capital
15201,138.13,15201,Capital
15220,763.28,15220,Capital
15221,127.15,15221,Capital
15240,922.49,15240,Capital
15241,172.80,15241,Capital
15260,989.47,15260,Capital
15261,202.37,15261,Capital
15271,151.73,15271,Capital
15272,24.69,15272,Capital
15273,307.97,15273,Capital
15274,80.62,15274,Capital
15275,156.24,15275,Capital
15276,32.58,15276,Capital
15277,340.41,15277,Capital
15278,94.37,15278,Capital
15570,908.90,15570,Capital
15572,883.00,15572,Capital
15574,885.18,15574,Capital
15576,773.90,15576,Capital
15600,330.29,15600,Capital
15610,360.87,15610,Capital
15620,440.57,15620,Capital
15630,455.10,15630,Capital
15650,537.05,15650,Capital
15730,"1,389.48",15730,Capital
15731,"1,123.63",15731,Capital
15733,"1,041.53",15733,Capital
15734,"1,541.67",15734,Capital
15736,"1,236.91",15736,Capital
15738,"1,291.30",15738,Capital
15740,"1,011.10",15740,Capital
15750,950.22,15750,Capital
15756,"2,315.41",15756,Capital
15757,"2,297.89",15757,Capital
15758,"2,287.40",15758,Capital
15760,841.00,15760,Capital
15769,488.53,15769,Capital
15770,678.84,15770,Capital
15771,612.05,15771,Capital
15772,192.98,15772,Capital
15773,596.76,15773,Capital
15774,187.44,15774,Capital
15775,374.27,15775,Capital
15776,507.40,15776,Capital
15777,219.06,15777,Capital
15778,402.02,15778,Capital
15780,831.48,15780,Capital
15781,528.25,15781,Capital
15782,475.03,15782,Capital
15783,441.62,15783,Capital
15786,224.09,15786,Capital
15787,29.17,15787,Capital
15788,375.42,15788,Capital
15789,522.33,15789,Capital
15792,324.27,15792,Capital
15793,465.25,15793,Capital
15819,809.47,15819,Capital
15820,566.82,15820,Capital
15821,609.08,15821,Capital
15822,453.60,15822,Capital
15823,609.08,15823,Capital
15830,"1,194.57",15830,Capital
15832,936.15,15832,Capital
15833,888.11,15833,Capital
15834,904.06,15834,Capital
15835,943.68,15835,Capital
15836,806.54,15836,Capital
15837,867.70,15837,Capital
15838,655.81,15838,Capital
15839,896.85,15839,Capital
15840,"1,021.24",15840,Capital
15841,"1,803.57",15841,Capital
15842,"2,737.71",15842,Capital
15845,"1,074.50",15845,Capital
15851,57.50,15851,Capital
15852,45.79,15852,Capital
15853,11.13,15853,Capital
15854,15.37,15854,Capital
15860,109.26,15860,Capital
15920,645.79,15920,Capital
15922,805.83,15922,Capital
15931,726.78,15931,Capital
15933,892.89,15933,Capital
15934,998.52,15934,Capital
15935,"1,169.10",15935,Capital
15936,921.61,15936,Capital
15937,"1,058.79",15937,Capital
15940,728.30,15940,Capital
15941,941.31,15941,Capital
15944,944.90,15944,Capital
15945,"1,032.63",15945,Capital
15946,"1,645.30",15946,Capital
15950,643.26,15950,Capital
15951,907.70,15951,Capital
15952,927.39,15952,Capital
15953,"1,021.24",15953,Capital
15956,"1,213.65",15956,Capital
15958,"1,195.89",15958,Capital
16000,79.33,16000,Capital
16020,84.56,16020,Capital
16025,156.88,16025,Capital
16030,197.39,16030,Capital
16035,200.42,16035,Capital
16036,85.45,16036,Capital
17000,66.10,17000,Capital
17003,6.34,17003,Capital
17004,163.07,17004,Capital
17106,340.33,17106,Capital
17107,440.97,17107,Capital
17108,632.86,17108,Capital
17110,109.95,17110,Capital
17111,129.17,17111,Capital
17250,84.38,17250,Capital
17260,97.86,17260,Capital
17261,144.90,17261,Capital
17262,174.58,17262,Capital
17263,189.12,17263,Capital
17264,202.91,17264,Capital
17266,231.01,17266,Capital
17270,146.80,17270,Capital
17271,162.96,17271,Capital
17272,185.01,17272,Capital
17273,205.50,17273,Capital
17274,240.62,17274,Capital
17276,280.16,17276,Capital
17280,137.70,17280,Capital
17281,176.77,17281,Capital
17282,202.03,17282,Capital
17283,239.82,17283,Capital
17284,272.69,17284,Capital
17286,351.06,17286,Capital
17311,663.50,17311,Capital
17312,401.04,17312,Capital
17313,622.68,17313,Capital
17314,383.77,17314,Capital
17315,78.41,17315,Capital
17340,52.56,17340,Capital
17360,121.81,17360,Capital
19000,97.79,19000,Capital
19001,26.44,19001,Capital
19020,467.66,19020,Capital
19030,159.32,19030,Capital
19081,477.02,19081,Capital
19082,363.30,19082,Capital
19083,475.08,19083,Capital
19084,357.29,19084,Capital
19085,722.41,19085,Capital
19086,554.65,19086,Capital
19100,148.16,19100,Capital
19101,329.46,19101,Capital
19105,"2,152.09",19105,Capital
19110,489.15,19110,Capital
19112,460.67,19112,Capital
19120,529.81,19120,Capital
19125,585.27,19125,Capital
19126,168.09,19126,Capital
19281,232.75,19281,Capital
19282,163.16,19282,Capital
19283,249.55,19283,Capital
19284,180.72,19284,Capital
19285,347.75,19285,Capital
19286,282.07,19286,Capital
19287,598.01,19287,Capital
19288,457.88,19288,Capital
19294,172.16,19294,Capital
19296,"3,394.56",19296,Capital
19297,98.10,19297,Capital
19298,834.49,19298,Capital
19300,577.12,19300,Capital
19301,688.76,19301,Capital
19302,946.14,19302,Capital
19303,999.76,19303,Capital
19305,"1,195.64",19305,Capital
19306,"1,269.44",19306,Capital
19307,"1,228.12",19307,Capital
19316,806.98,19316,Capital
19318,"1,111.90",19318,Capital
19325,623.45,19325,Capital
19328,562.63,19328,Capital
19330,656.88,19330,Capital
19340,772.68,19340,Capital
19342,772.62,19342,Capital
19350,831.84,19350,Capital
19355,756.72,19355,Capital
19357,"1,170.93",19357,Capital
19361,"1,583.77",19361,Capital
19364,"2,767.44",19364,Capital
19367,"1,798.43",19367,Capital
19368,"2,205.62",19368,Capital
19369,"2,048.72",19369,Capital
19370,681.94,19370,Capital
19371,723.11,19371,Capital
19380,819.46,19380,Capital
19396,266.99,19396,Capital
20100,622.41,20100,Capital
20101,560.77,20101,Capital
20102,600.39,20102,Capital
20103,559.42,20103,Capital
20150,"1,030.26",20150,Capital
20200,212.79,20200,Capital
20205,302.58,20205,Capital
20206,208.68,20206,Capital
20220,222.94,20220,Capital
20225,363.48,20225,Capital
20240,141.27,20240,Capital
20245,351.13,20245,Capital
20250,406.63,20250,Capital
20251,434.22,20251,Capital
20500,121.90,20500,Capital
20501,135.10,20501,Capital
20520,214.77,20520,Capital
20525,455.15,20525,Capital
20526,82.46,20526,Capital
20527,87.94,20527,Capital
20550,57.70,20550,Capital
20551,57.21,20551,Capital
20552,52.16,20552,Capital
20553,60.03,20553,Capital
20555,333.13,20555,Capital
20560,24.91,20560,Capital
20561,36.04,20561,Capital
20600,53.59,20600,Capital
20604,81.44,20604,Capital
20605,54.88,20605,Capital
20606,89.07,20606,Capital
20610,65.19,20610,Capital
20611,98.39,20611,Capital
20612,64.48,20612,Capital
20615,250.26,20615,Capital
20650,230.39,20650,Capital
20660,255.73,20660,Capital
20661,545.66,20661,Capital
20662,533.86,20662,Capital
20663,492.79,20663,Capital
20664,945.45,20664,Capital
20665,115.73,20665,Capital
20670,342.49,20670,Capital
20680,597.17,20680,Capital
20690,612.19,20690,Capital
20692,"1,149.70",20692,Capital
20693,454.92,20693,Capital
20694,432.13,20694,Capital
20696,"1,186.55",20696,Capital
20697,"1,662.04",20697,Capital
20700,86.93,20700,Capital
20701,65.88,20701,Capital
20702,146.26,20702,Capital
20703,107.09,20703,Capital
20704,153.87,20704,Capital
20705,127.30,20705,Capital
20802,"2,811.91",20802,Capital
20805,"3,342.60",20805,Capital
20808,"4,036.45",20808,Capital
20816,"2,105.37",20816,Capital
20822,"1,815.80",20822,Capital
20824,"2,109.12",20824,Capital
20827,"1,864.54",20827,Capital
20838,"2,851.48",20838,Capital
20900,376.48,20900,Capital
20902,281.26,20902,Capital
20910,486.67,20910,Capital
20912,488.59,20912,Capital
20920,404.59,20920,Capital
20922,624.32,20922,Capital
20924,514.46,20924,Capital
20931,117.22,20931,Capital
20932,775.01,20932,Capital
20933,710.64,20933,Capital
20934,774.37,20934,Capital
20937,175.43,20937,Capital
20938,195.01,20938,Capital
20939,73.36,20939,Capital
20950,255.45,20950,Capital
20955,"2,476.52",20955,Capital
20956,"2,704.40",20956,Capital
20957,"2,816.58",20957,Capital
20962,"2,727.69",20962,Capital
20969,"2,749.34",20969,Capital
20970,"2,918.27",20970,Capital
20972,"2,910.14",20972,Capital
20973,"3,075.25",20973,Capital
20974,83.21,20974,Capital
20975,182.65,20975,Capital
20979,56.64,20979,Capital
20982,"3,253.05",20982,Capital
20983,"4,713.45",20983,Capital
20985,148.49,20985,Capital
21010,737.18,21010,Capital
21011,368.50,21011,Capital
21012,346.83,21012,Capital
21013,533.32,21013,Capital
21014,531.68,21014,Capital
21015,707.04,21015,Capital
21016,"1,029.27",21016,Capital
21025,785.43,21025,Capital
21026,526.13,21026,Capital
21029,769.99,21029,Capital
21030,449.09,21030,Capital
21031,373.02,21031,Capital
21032,363.26,21032,Capital
21034,"1,297.48",21034,Capital
21040,453.47,21040,Capital
21044,869.30,21044,Capital
21045,"1,209.28",21045,Capital
21046,979.60,21046,Capital
21047,"1,213.94",21047,Capital
21048,989.43,21048,Capital
21049,"1,155.24",21049,Capital
21050,854.06,21050,Capital
21060,775.73,21060,Capital
21070,616.76,21070,Capital
21073,372.01,21073,Capital
21076,862.08,21076,Capital
21077,"2,110.49",21077,Capital
21079,"1,444.83",21079,Capital
21080,"1,646.69",21080,Capital
21081,"1,523.03",21081,Capital
21082,"1,420.35",21082,Capital
21083,"1,347.27",21083,Capital
21084,"1,539.21",21084,Capital
21085,672.69,21085,Capital
21086,"1,566.33",21086,Capital
21087,"1,566.33",21087,Capital
21100,599.03,21100,Capital
21110,826.79,21110,Capital
21116,202.03,21116,Capital
21120,650.78,21120,Capital
21121,623.27,21121,Capital
21122,749.98,21122,Capital
21123,834.37,21123,Capital
21125,"2,464.22",21125,Capital
21127,"3,799.76",21127,Capital
21137,760.90,21137,Capital
21138,927.45,21138,Capital
21139,"1,101.78",21139,Capital
21141,"1,318.13",21141,Capital
21142,"1,353.50",21142,Capital
21143,"1,395.55",21143,Capital
21145,"1,535.46",21145,Capital
21146,"1,603.40",21146,Capital
21147,"1,687.62",21147,Capital
21150,"1,659.52",21150,Capital
21151,"1,828.10",21151,Capital
21154,"1,967.96",21154,Capital
21155,"2,185.17",21155,Capital
21159,"2,620.25",21159,Capital
21160,"2,843.01",21160,Capital
21172,"2,275.97",21172,Capital
21175,"2,241.26",21175,Capital
21179,"1,542.13",21179,Capital
21180,"1,722.32",21180,Capital
21181,751.46,21181,Capital
21182,"2,148.08",21182,Capital
21183,"2,337.52",21183,Capital
21184,"2,515.40",21184,Capital
21188,"1,560.02",21188,Capital
21193,"1,219.96",21193,Capital
21194,"1,410.03",21194,Capital
21195,"1,322.73",21195,Capital
21196,"1,413.99",21196,Capital
21198,"1,009.50",21198,Capital
21199,"1,011.99",21199,Capital
21206,965.57,21206,Capital
21208,"1,574.60",21208,Capital
21209,777.08,21209,Capital
21210,"1,690.82",21210,Capital
21215,"3,849.61",21215,Capital
21230,757.78,21230,Capital
21235,729.78,21235,Capital
21240,"1,039.94",21240,Capital
21242,"1,002.16",21242,Capital
21243,"1,659.10",21243,Capital
21244,"1,004.55",21244,Capital
21245,"1,193.86",21245,Capital
21246,842.66,21246,Capital
21247,"1,565.99",21247,Capital
21248,967.93,21248,Capital
21249,"1,317.00",21249,Capital
21255,"1,316.94",21255,Capital
21256,"1,257.88",21256,Capital
21260,"1,376.40",21260,Capital
21261,"2,448.36",21261,Capital
21263,"2,262.65",21263,Capital
21267,"1,608.08",21267,Capital
21268,"2,023.57",21268,Capital
21270,"1,014.66",21270,Capital
21275,855.39,21275,Capital
21280,581.06,21280,Capital
21282,395.19,21282,Capital
21295,196.59,21295,Capital
21296,408.57,21296,Capital
21315,148.66,21315,Capital
21320,211.40,21320,Capital
21325,439.73,21325,Capital
21330,532.13,21330,Capital
21335,718.99,21335,Capital
21336,632.60,21336,Capital
21337,410.78,21337,Capital
21338,664.93,21338,Capital
21339,753.71,21339,Capital
21340,763.78,21340,Capital
21343,"1,090.33",21343,Capital
21344,"1,407.52",21344,Capital
21345,802.54,21345,Capital
21346,"1,013.71",21346,Capital
21347,"1,038.01",21347,Capital
21348,"1,110.60",21348,Capital
21355,445.35,21355,Capital
21356,541.41,21356,Capital
21360,531.41,21360,Capital
21365,"1,090.80",21365,Capital
21366,"1,295.29",21366,Capital
21385,740.25,21385,Capital
21386,702.39,21386,Capital
21387,773.12,21387,Capital
21390,804.44,21390,Capital
21395,"1,022.80",21395,Capital
21400,214.87,21400,Capital
21401,500.84,21401,Capital
21406,590.50,21406,Capital
21407,642.89,21407,Capital
21408,915.34,21408,Capital
21421,627.80,21421,Capital
21422,625.35,21422,Capital
21423,806.33,21423,Capital
21431,679.01,21431,Capital
21432,716.45,21432,Capital
